paises;quantidade_kg;valor;categorias;ano
Irlanda;-;-;Suco de uva;2008
Israel;-;-;Suco de uva;2008
Itália;58.500;140.673;Suco de uva;2008
Iugoslâvia;-;-;Suco de uva;2008
Jamaica;-;-;Suco de uva;2008
Japão;5.570.468;12.876.359;Suco de uva;2008
Líbano;-;-;Suco de uva;2008
Libêria;-;-;Suco de uva;2008
Líbia;-;-;Suco de uva;2008
Luxemburgo;-;-;Suco de uva;2008
Malásia;37.100;89.040;Suco de uva;2008
Malta;-;-;Suco de uva;2008
Marshall, Ilhas;-;-;Suco de uva;2008
Mauritânia;-;-;Suco de uva;2008
México;-;-;Suco de uva;2008
Moçambique;-;-;Suco de uva;2008
Mônaco;-;-;Suco de uva;2008
Montenegro;-;-;Suco de uva;2008
Namíbia;-;-;Suco de uva;2008
Nigéria;-;-;Suco de uva;2008
Noruega;-;-;Suco de uva;2008
Nova Caledônia;-;-;Suco de uva;2008
Nova Zelândia;-;-;Suco de uva;2008
Países Baixos;-;-;Suco de uva;2008
Panamá;-;-;Suco de uva;2008
Paquistão;390;462;Suco de uva;2008
Paraguai;73.332;52.504;Suco de uva;2008
Peru;-;-;Suco de uva;2008
Polônia;-;-;Suco de uva;2008
Porto Rico;407.105;952.558;Suco de uva;2008
Portugal;-;-;Suco de uva;2008
Quênia;-;-;Suco de uva;2008
Reino Unido;-;-;Suco de uva;2008
República Centro Africana;-;-;Suco de uva;2008
República Dominicana;30.210;75.434;Suco de uva;2008
República Federativa da Rússia;-;-;Suco de uva;2008
Rússia;-;-;Suco de uva;2008
São Tomé e Príncipe;-;-;Suco de uva;2008
Senegal;-;-;Suco de uva;2008
Serra Leoa;-;-;Suco de uva;2008
Singapura;-;-;Suco de uva;2008
Sri Lanka;-;-;Suco de uva;2008
Suécia;-;-;Suco de uva;2008
Suíça;165;321;Suco de uva;2008
Suriname;-;-;Suco de uva;2008
Tailândia;3.000;8.526;Suco de uva;2008
Taiwan (Formosa);11.404;27.778;Suco de uva;2008
Tanzânia;-;-;Suco de uva;2008
Tcheca, República;996;1.436;Suco de uva;2008
Togo;-;-;Suco de uva;2008
Trinidade e Tobago;3.446;3.471;Suco de uva;2008
Turquia;-;-;Suco de uva;2008
Uruguai;250;605;Suco de uva;2008
Vanuatu;-;-;Suco de uva;2008
Venezuela;-;-;Suco de uva;2008
Total;6.623.263;15.174.072;Suco de uva;2008
Afeganistão;-;-;Vinhos de mesa;2009
África do Sul;-;-;Vinhos de mesa;2009
Alemanha, República Democrática;225.086;393.482;Vinhos de mesa;2009
Angola;54.786;84.235;Vinhos de mesa;2009
Anguilla;-;-;Vinhos de mesa;2009
Antígua e Barbuda;-;-;Vinhos de mesa;2009
Antilhas Holandesas;8.235;10.651;Vinhos de mesa;2009
Argentina;162;4.523;Vinhos de mesa;2009
Aruba;-;-;Vinhos de mesa;2009
Austrália;1.014;9.195;Vinhos de mesa;2009
Áustria;-;-;Vinhos de mesa;2009
Bahamas;-;-;Vinhos de mesa;2009
Bangladesh;-;-;Vinhos de mesa;2009
Barbados;-;-;Vinhos de mesa;2009
Barein;-;-;Vinhos de mesa;2009
Bélgica;125.962;58.764;Vinhos de mesa;2009
Belice;-;-;Vinhos de mesa;2009
Benin;-;-;Vinhos de mesa;2009
Bolívia;40.463;20.729;Vinhos de mesa;2009
Bósnia-Herzegovina;-;-;Vinhos de mesa;2009
Brasil;-;-;Vinhos de mesa;2009
Bulgária;-;-;Vinhos de mesa;2009
Cabo Verde;-;-;Vinhos de mesa;2009
Camarões;-;-;Vinhos de mesa;2009
Canadá;15.664;73.445;Vinhos de mesa;2009
Catar;-;-;Vinhos de mesa;2009
Cayman, Ilhas;-;-;Vinhos de mesa;2009
Chile;1.475;4.297;Vinhos de mesa;2009
China;1.553.416;482.400;Vinhos de mesa;2009
Chipre;-;-;Vinhos de mesa;2009
Cingapura;2.419;6.110;Vinhos de mesa;2009
Cocos (Keeling), Ilhas;-;-;Vinhos de mesa;2009
Colômbia;-;-;Vinhos de mesa;2009
Comores;-;-;Vinhos de mesa;2009
Congo;-;-;Vinhos de mesa;2009
Coreia, Republica Sul;-;-;Vinhos de mesa;2009
Costa do Marfim;-;-;Vinhos de mesa;2009
Costa Rica;-;-;Vinhos de mesa;2009
Croácia;-;-;Vinhos de mesa;2009
Cuba;-;-;Vinhos de mesa;2009
Curaçao;-;-;Vinhos de mesa;2009
Dinamarca;1.980;21.780;Vinhos de mesa;2009
Dominica;-;-;Vinhos de mesa;2009
El Salvador;55;100;Vinhos de mesa;2009
Emirados Arabes Unidos;1.398;4.032;Vinhos de mesa;2009
Equador;-;-;Vinhos de mesa;2009
Eslovaca, Republica;-;-;Vinhos de mesa;2009
Espanha;2.181;4.050;Vinhos de mesa;2009
Estados Unidos;372.319;660.066;Vinhos de mesa;2009
Estônia;5.438;10.802;Vinhos de mesa;2009
Filipinas;-;-;Vinhos de mesa;2009
Finlândia;-;-;Vinhos de mesa;2009
França;-;-;Vinhos de mesa;2009
Gana;-;-;Vinhos de mesa;2009
Gibraltar;-;-;Vinhos de mesa;2009
Granada;-;-;Vinhos de mesa;2009
Grécia;-;-;Vinhos de mesa;2009
Guatemala;20;20;Vinhos de mesa;2009
Guiana;-;-;Vinhos de mesa;2009
Guiana Francesa;-;-;Vinhos de mesa;2009
Guine Bissau;-;-;Vinhos de mesa;2009
Guine Equatorial;169;272;Vinhos de mesa;2009
Haiti;4.500;5.863;Vinhos de mesa;2009
Honduras;14;30;Vinhos de mesa;2009
Hong Kong;50.319;27.188;Vinhos de mesa;2009
Hungria;-;-;Vinhos de mesa;2009
Ilha de Man;-;-;Vinhos de mesa;2009
Ilhas Virgens;-;-;Vinhos de mesa;2009
India;-;-;Vinhos de mesa;2009
Indonésia;-;-;Vinhos de mesa;2009
Irã;-;-;Vinhos de mesa;2009
Iraque;-;-;Vinhos de mesa;2009
Irlanda;-;-;Vinhos de mesa;2009
Itália;1.817;5.251;Vinhos de mesa;2009
Jamaica;-;-;Vinhos de mesa;2009
Japão;217.974;283.436;Vinhos de mesa;2009
Jordânia;-;-;Vinhos de mesa;2009
Letônia;-;-;Vinhos de mesa;2009
Líbano;-;-;Vinhos de mesa;2009
Libéria;-;-;Vinhos de mesa;2009
Luxemburgo;7.845;42.124;Vinhos de mesa;2009
Malásia;-;-;Vinhos de mesa;2009
Malta;-;-;Vinhos de mesa;2009
Marshall, Ilhas;-;-;Vinhos de mesa;2009
Mauritânia;-;-;Vinhos de mesa;2009
México;-;-;Vinhos de mesa;2009
Moçambique;-;-;Vinhos de mesa;2009
Montenegro;-;-;Vinhos de mesa;2009
Namibia;-;-;Vinhos de mesa;2009
Nicaragua;24;24;Vinhos de mesa;2009
Nigéria;41;115;Vinhos de mesa;2009
Noruega;-;-;Vinhos de mesa;2009
Nova Caledônia;-;-;Vinhos de mesa;2009
